,mcc,sens,spec,prec,acc,FDR,FPR,PPV,NPV,mism,wspec,tversky,balanced_acc,dice
MRI_397.nii.gz,0.94032367,0.982842845,0.996524152,0.90340598,0.996086121,0.09659402,0.003475848,0.90340598,0.999430859,0.941451723,0.9695637,0.957582652,0.989683498,0.941451723
MRI_334.nii.gz,0.831562971,0.744086655,0.997682773,0.946037099,0.984554291,0.053962901,0.002317227,0.946037099,0.986189207,0.832996494,0.97952453,0.794999173,0.870884714,0.832996494
MRI_833.nii.gz,0.810315903,0.685033507,0.999854295,0.960334029,0.998241425,0.039665971,0.000145705,0.960334029,0.998380464,0.799652325,0.998690182,0.749490835,0.842443901,0.799652325
MRI_335.nii.gz,0.851983949,0.785509737,0.9991765,0.927943166,0.996330261,0.072056834,0.0008235,0.927943166,0.997110206,0.850806452,0.992637005,0.823426993,0.892343118,0.850806452
MRI_805.nii.gz,0.8751478,0.990301724,0.998974029,0.774220725,0.998943329,0.225779275,0.001025971,0.774220725,0.999965512,0.869030733,0.990841434,0.913791389,0.994637877,0.869030733
MRI_429.nii.gz,0.958459,0.948382881,0.999312559,0.970578402,0.998123169,0.029421598,0.000687441,0.970578402,0.998766406,0.95935228,0.993846871,0.954934211,0.97384772,0.95935228
MRI_395.nii.gz,0.960166042,0.998156045,0.997277752,0.9262111,0.997306824,0.0737889,0.002722248,0.9262111,0.999936707,0.960838695,0.976021962,0.975425714,0.997716898,0.960838695
MRI_379.nii.gz,0.429886439,0.196889879,1,1,0.939517975,0,0,1,0.938607666,0.329002497,1,0.259384071,0.59844494,0.329002497
MRI_779.nii.gz,0.873994688,0.852083333,0.99982038,0.896929825,0.999549866,0.103070175,0.00017962,0.896929825,0.999728685,0.873931624,0.998385743,0.865059222,0.925951857,0.873931624
MRI_561.nii.gz,0.976925458,0.988597189,0.999492981,0.966053382,0.999336243,0.033946618,0.000507019,0.966053382,0.999833517,0.977195282,0.995455264,0.981724338,0.994045085,0.977195282
MRI_414.nii.gz,0.962477908,0.991230474,0.999036732,0.935592344,0.99892807,0.064407656,0.000963268,0.935592344,0.999876102,0.962608117,0.991396884,0.973856385,0.995133603,0.962608117
MRI_494.nii.gz,0.935575741,0.959947183,0.999199606,0.912934282,0.998859406,0.087065718,0.000800394,0.912934282,0.99964967,0.935850676,0.992842286,0.945342638,0.979573395,0.935850676
MRI_177.nii.gz,0.921980152,0.868846002,0.999673236,0.981316726,0.997138977,0.018683274,0.000326764,0.981316726,0.997415078,0.921662837,0.997066789,0.899783823,0.934259619,0.921662837
MRI_267.nii.gz,0.953562189,0.962940086,0.999304767,0.945421468,0.998855591,0.054578532,0.000695233,0.945421468,0.999536404,0.954100367,0.993777511,0.957616708,0.981122427,0.954100367
MRI_150.nii.gz,0.885112623,0.919062093,0.993264945,0.862439899,0.990005493,0.137560101,0.006735055,0.862439899,0.996270105,0.889851173,0.942483522,0.90130985,0.956163519,0.889851173
MRI_645.nii.gz,0.855011745,0.752455796,0.999957957,0.972081218,0.999477386,0.027918782,4.20E-05,0.972081218,0.999518625,0.848283499,0.999621737,0.807165437,0.876206876,0.848283499
MRI_817.nii.gz,0.942212175,0.923128454,0.999203663,0.964310707,0.997470856,0.035689293,0.000796337,0.964310707,0.998210024,0.9432703,0.992878338,0.935109,0.961166059,0.9432703
